arm,step,cell_id,certificate_rank,update_norm,violation_norm,violation_ratio,eligible_for_ratio
sgd_with_decay_grad_projection,27,1,60,8.270586840808392e-05,2.5780633222893812e-05,0.31171467523892493,True
sgd_with_decay_grad_projection,27,2,60,7.046457176329568e-05,2.329972448933404e-05,0.3306587065758901,True
sgd_with_decay_grad_projection,27,3,49,6.725337880197912e-05,2.3003312890068628e-05,0.342039507275316,True
sgd_with_decay_grad_projection,27,4,60,7.84239309723489e-05,2.8971242500119843e-05,0.3694183876209455,True
sgd_with_decay_grad_projection,27,5,53,0.00011096953676315024,2.2236719814827666e-05,0.2003858019332206,True
sgd_with_decay_grad_projection,27,6,60,7.47212689020671e-05,2.2924297809368e-05,0.3067974867051051,True
sgd_with_decay_grad_projection,27,7,53,6.357066740747541e-05,2.6861041988013312e-05,0.42253829731409065,True
sgd_with_decay_grad_projection,28,0,58,7.491857832064852e-05,2.579818101366982e-05,0.34434957586761805,True
sgd_with_decay_grad_projection,28,1,60,8.671450632391497e-05,2.673690687515773e-05,0.3083325697196686,True
sgd_with_decay_grad_projection,28,2,60,7.58967871661298e-05,2.416272764094174e-05,0.3183629798411517,True
sgd_with_decay_grad_projection,28,3,49,7.181127148214728e-05,2.3854989194660448e-05,0.33219003605027253,True
sgd_with_decay_grad_projection,28,4,60,7.686013850616291e-05,3.004602149303537e-05,0.39091812330923725,True
sgd_with_decay_grad_projection,28,5,53,8.615157275926322e-05,2.3057837097439915e-05,0.26764266851202684,True
sgd_with_decay_grad_projection,28,6,60,7.585305138491094e-05,2.3773140128469095e-05,0.3134104611615889,True
sgd_with_decay_grad_projection,28,7,53,6.549720274051651e-05,2.7855536245624535e-05,0.4252935187276266,True
sgd_with_decay_grad_projection,29,0,58,8.247077494161204e-05,2.6718549634097144e-05,0.32397597002134965,True
sgd_with_decay_grad_projection,29,1,60,9.518109436612576e-05,2.7692256480804645e-05,0.2909428219362572,True
sgd_with_decay_grad_projection,29,2,60,8.150011854013428e-05,2.5025412469403818e-05,0.3070598253181726,True
sgd_with_decay_grad_projection,29,3,49,7.53678468754515e-05,2.4705801479285583e-05,0.3278029315645704,True
sgd_with_decay_grad_projection,29,4,60,9.900393342832103e-05,3.111724799964577e-05,0.3143031454186772,True
sgd_with_decay_grad_projection,29,5,53,0.00016301829600706697,2.3881884771981277e-05,0.1464981858505489,True
sgd_with_decay_grad_projection,29,6,60,8.860731031745672e-05,2.462166412442457e-05,0.2778739559787749,True
sgd_with_decay_grad_projection,29,7,53,6.954519631108269e-05,2.88517458102433e-05,0.41486323895504285,True
sgd_with_decay_grad_projection,30,0,58,7.84079238655977e-05,2.7638940082397312e-05,0.3525018692915847,True
sgd_with_decay_grad_projection,30,1,60,8.908429299481213e-05,2.8645355996559374e-05,0.32155338176926623,True
sgd_with_decay_grad_projection,30,2,60,8.876023639459163e-05,2.5887116862577386e-05,0.2916521814547868,True
sgd_with_decay_grad_projection,30,3,49,7.463443034794182e-05,2.555977516749408e-05,0.3424662679927947,True
sgd_with_decay_grad_projection,30,4,60,8.465936844004318e-05,3.2188723707804456e-05,0.38021454589974135,True
sgd_with_decay_grad_projection,30,5,53,9.039398719323799e-05,2.4705765099497512e-05,0.27331203759572203,True
sgd_with_decay_grad_projection,30,6,60,9.390410559717566e-05,2.5470952095929533e-05,0.27124428333249934,True
sgd_with_decay_grad_projection,30,7,53,6.999394099693745e-05,2.9846554753021337e-05,0.42641625691445206,True
sgd_with_decay_grad_projection,31,0,58,8.551724749850109e-05,2.8559543352457695e-05,0.3339623743034515,True
sgd_with_decay_grad_projection,31,1,60,9.492672688793391e-05,2.9600470952573232e-05,0.31182441037594993,True
sgd_with_decay_grad_projection,31,2,60,8.376008190680295e-05,2.6749041353468783e-05,0.3193530906987228,True
sgd_with_decay_grad_projection,31,3,49,7.76311571826227e-05,2.6411715225549415e-05,0.3402205486026296,True
sgd_with_decay_grad_projection,31,4,60,0.00010258044494548813,3.3263513614656404e-05,0.32426758636175984,True
sgd_with_decay_grad_projection,31,5,53,0.00012411187344696373,2.553036028984934e-05,0.2057044130838515,True
sgd_with_decay_grad_projection,31,6,60,9.20946040423587e-05,2.631945608300157e-05,0.2857871649582079,True
sgd_with_decay_grad_projection,31,7,53,7.26072394172661e-05,3.084080890403129e-05,0.4247621687147513,True
sgd_with_decay_grad_projection,32,0,58,8.726701344130561e-05,2.9481294404831715e-05,0.33782861248977825,True
sgd_with_decay_grad_projection,32,1,60,0.0001014674489852041,3.0555635021300986e-05,0.30113731079037254,True
sgd_with_decay_grad_projection,32,2,60,8.7731474195607e-05,2.7613948986981995e-05,0.3147553249892772,True
