run,task,row,mean_activity
r1-C,ROTATE,3,0.0739285768009722
r1-C,ROTATE,4,0.284642876535654
r1-C,ROTATE,5,0.3182143098115921
r1-C,ROTATE,6,0.3514285954833031
r1-C,ROTATE,7,0.2004762065410614
r1-C,INC,0,1.0
r1-C,INC,1,0.5866667154431343
r1-C,INC,2,0.1758333442360162
r1-C,INC,3,0.0700000046938657
r1-C,INC,4,0.2955952583253383
r1-C,INC,5,0.3145238327980041
r1-C,INC,6,0.3579762145876884
r1-C,INC,7,0.1994047757238149
r1-C,SWAP,0,1.0
r1-C,SWAP,1,0.60142862200737
r1-C,SWAP,2,0.1654762028902769
r1-C,SWAP,3,0.0741666721180081
r1-C,SWAP,4,0.2780952580273151
r1-C,SWAP,5,0.3120238323509693
r1-C,SWAP,6,0.3591666899621487
r1-C,SWAP,7,0.209642871171236
r1-C,REVERSE_ROTATE,0,1.0
r1-C,REVERSE_ROTATE,1,0.5926190960407257
r1-C,REVERSE_ROTATE,2,0.1601190592348575
r1-C,REVERSE_ROTATE,3,0.075952386111021
r1-C,REVERSE_ROTATE,4,0.2925000184774399
r1-C,REVERSE_ROTATE,5,0.3188095483183861
r1-C,REVERSE_ROTATE,6,0.3623809751868247
r1-C,REVERSE_ROTATE,7,0.1976190623641014
r1-C,REVERSE_INC,0,1.0
r1-C,REVERSE_INC,1,0.5958333846926689
r1-C,REVERSE_INC,2,0.1576190581917762
r1-C,REVERSE_INC,3,0.0719047666341066
r1-C,REVERSE_INC,4,0.2902381145954132
r1-C,REVERSE_INC,5,0.312976211309433
r1-C,REVERSE_INC,6,0.3635714542865753
r1-C,REVERSE_INC,7,0.2078571584820747
r1-C,REVERSE_SWAP,0,1.0
r1-C,REVERSE_SWAP,1,0.6067857593297958
r1-C,REVERSE_SWAP,2,0.1591666775941848
r1-C,REVERSE_SWAP,3,0.0733333382941782
r1-C,REVERSE_SWAP,4,0.2851190686225891
r1-C,REVERSE_SWAP,5,0.3135714516043663
r1-C,REVERSE_SWAP,6,0.363333358168602
r1-C,REVERSE_SWAP,7,0.1986904919892549
r1-C,ROTATE_INC,0,1.0
r1-C,ROTATE_INC,1,0.5891667076945305
r1-C,ROTATE_INC,2,0.1652381061762571
r1-C,ROTATE_INC,3,0.0752381001040339
r1-C,ROTATE_INC,4,0.2940476389229298
r1-C,ROTATE_INC,5,0.3191666950285434
r1-C,ROTATE_INC,6,0.3572619307041168
r1-C,ROTATE_INC,7,0.1998809692263603
r1-C,ROTATE_SWAP,0,1.0
r1-C,ROTATE_SWAP,1,0.5980952879786492
r1-C,ROTATE_SWAP,2,0.1597619155049324
r1-C,ROTATE_SWAP,3,0.0717857189290225
r1-C,ROTATE_SWAP,4,0.2785714474320411
r1-C,ROTATE_SWAP,5,0.3215476456284523
r1-C,ROTATE_SWAP,6,0.367142883837223
r1-C,ROTATE_SWAP,7,0.2030952531099319
r1-C,INC_SWAP,0,1.0
r1-C,INC_SWAP,1,0.5934524309635162
r1-C,INC_SWAP,2,0.1705952504277229
r1-C,INC_SWAP,3,0.0742857193574309
r1-C,INC_SWAP,4,0.2916666860878467
r1-C,INC_SWAP,5,0.3213095498085022
r1-C,INC_SWAP,6,0.3564285978674888
r1-C,INC_SWAP,7,0.1922619182616472
r2-A,REVERSE,0,1.0
r2-A,REVERSE,1,1.0
r2-A,REVERSE,2,1.0
r2-A,REVERSE,3,1.0
r2-A,REVERSE,4,1.0
r2-A,REVERSE,5,1.0
r2-A,REVERSE,6,1.0
r2-A,REVERSE,7,1.0
r2-A,ROTATE,0,1.0
r2-A,ROTATE,1,1.0
r2-A,ROTATE,2,1.0
r2-A,ROTATE,3,1.0
r2-A,ROTATE,4,1.0
r2-A,ROTATE,5,1.0
r2-A,ROTATE,6,1.0
r2-A,ROTATE,7,1.0
r2-A,INC,0,1.0
r2-A,INC,1,1.0
r2-A,INC,2,1.0
r2-A,INC,3,1.0
r2-A,INC,4,1.0
r2-A,INC,5,1.0
r2-A,INC,6,1.0
r2-A,INC,7,1.0
r2-A,SWAP,0,1.0
r2-A,SWAP,1,1.0
r2-A,SWAP,2,1.0
r2-A,SWAP,3,1.0
r2-A,SWAP,4,1.0
r2-A,SWAP,5,1.0
r2-A,SWAP,6,1.0
r2-A,SWAP,7,1.0
r2-A,REVERSE_ROTATE,0,1.0
r2-A,REVERSE_ROTATE,1,1.0
r2-A,REVERSE_ROTATE,2,1.0
r2-A,REVERSE_ROTATE,3,1.0
r2-A,REVERSE_ROTATE,4,1.0
r2-A,REVERSE_ROTATE,5,1.0
r2-A,REVERSE_ROTATE,6,1.0
r2-A,REVERSE_ROTATE,7,1.0
r2-A,REVERSE_INC,0,1.0
r2-A,REVERSE_INC,1,1.0
r2-A,REVERSE_INC,2,1.0
r2-A,REVERSE_INC,3,1.0
r2-A,REVERSE_INC,4,1.0
r2-A,REVERSE_INC,5,1.0
r2-A,REVERSE_INC,6,1.0
