replicate,stage,arm,step,stream_key_posthoc,family_posthoc,branch,route_margin,candidate_parent_branch
0,A_STORY_NULL,geometry-shadow,103,STORY,STORY,1,0.5375596880912781,0
0,A_STORY_NULL,incumbent,104,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,104,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,104,STORY,STORY,0,0.384809136390686,0
0,A_STORY_NULL,incumbent,105,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,105,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,105,STORY,STORY,0,0.9515708684921264,0
0,A_STORY_NULL,incumbent,106,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,106,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,106,STORY,STORY,0,0.7597195506095886,0
0,A_STORY_NULL,incumbent,107,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,107,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,107,STORY,STORY,0,0.7563075423240662,0
0,A_STORY_NULL,incumbent,108,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,108,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,108,STORY,STORY,0,0.854486346244812,0
0,A_STORY_NULL,incumbent,109,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,109,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,109,STORY,STORY,1,0.0620313882827758,0
0,A_STORY_NULL,incumbent,110,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,110,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,110,STORY,STORY,0,0.7826461791992188,0
0,A_STORY_NULL,incumbent,111,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,111,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,111,STORY,STORY,0,0.6488398909568787,0
0,A_STORY_NULL,incumbent,112,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,112,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,112,STORY,STORY,1,0.0037653446197509,0
0,A_STORY_NULL,incumbent,113,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,113,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,113,STORY,STORY,0,0.6651983857154846,0
0,A_STORY_NULL,incumbent,114,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,114,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,114,STORY,STORY,0,0.6289439797401428,0
0,A_STORY_NULL,incumbent,115,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,115,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,115,STORY,STORY,1,0.545387327671051,0
0,A_STORY_NULL,incumbent,116,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,116,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,116,STORY,STORY,1,0.8655585646629333,0
0,A_STORY_NULL,incumbent,117,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,117,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,117,STORY,STORY,0,0.8509510159492493,0
0,A_STORY_NULL,incumbent,118,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,118,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,118,STORY,STORY,0,0.4550378322601318,0
0,A_STORY_NULL,incumbent,119,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,119,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,119,STORY,STORY,0,0.5097088813781738,0
0,A_STORY_NULL,incumbent,120,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,120,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,120,STORY,STORY,0,0.4802910089492798,0
0,A_STORY_NULL,incumbent,121,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,121,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,121,STORY,STORY,0,0.8266698718070984,0
0,A_STORY_NULL,incumbent,122,STORY,STORY,0,0.0,0
