run,row,task,baseline_nll,ablated_nll,delta_nll
r1-D,6,ROTATE_INC,1.0503609071459088,1.1075109154837472,0.0571500083378384
r1-D,6,ROTATE_SWAP,1.199666086605617,1.3196877159391132,0.1200216293334961
r1-D,6,INC_SWAP,1.0498719937460763,1.114771285057068,0.0648992913109915
r1-D,7,REVERSE,1.1078253167016163,1.128560644899096,0.0207353281974793
r1-D,7,ROTATE,0.9551480054855348,0.9859516307285854,0.0308036252430506
r1-D,7,INC,1.420607647895813,1.4175434337343489,-0.003064214161464
r1-D,7,SWAP,1.0603532675334386,1.076687355041504,0.0163340875080653
r1-D,7,REVERSE_ROTATE,1.2778013208934238,1.3144275876453944,0.0366262667519705
r1-D,7,REVERSE_INC,1.1638117946897235,1.1756974622181484,0.0118856675284249
r1-D,7,REVERSE_SWAP,1.2490677513395037,1.278737028666905,0.0296692773274014
r1-D,7,ROTATE_INC,1.0503609071459088,1.0593877826418197,0.0090268754959108
r1-D,7,ROTATE_SWAP,1.199666086605617,1.2358801582881382,0.0362140716825212
r1-D,7,INC_SWAP,1.0498719937460763,1.0452403831481931,-0.0046316105978829
r2-D,1,REVERSE,1.0007691308430262,1.3400659567969186,0.3392968259538924
r2-D,1,ROTATE,0.973843456677028,1.3144879245758057,0.3406444678987775
r2-D,1,INC,1.1418119198935373,1.4979358686719622,0.3561239487784249
r2-D,1,SWAP,1.147967769759042,1.3501823030199325,0.2022145332608902
r2-D,1,REVERSE_ROTATE,1.2161040435518538,1.5029631498881748,0.286859106336321
r2-D,1,REVERSE_INC,1.120182089805603,1.515886548587254,0.3957044587816511
r2-D,1,REVERSE_SWAP,1.157756143978664,1.4287028401238575,0.2709466961451938
r2-D,1,ROTATE_INC,0.9909022501536778,1.4261463226590838,0.435244072505406
r2-D,1,ROTATE_SWAP,1.172133470943996,1.4017227377210344,0.2295892667770385
r2-D,1,INC_SWAP,0.8561620235443115,1.3157222631999423,0.4595602396556308
r2-D,2,REVERSE,1.0007691308430262,1.0767300190244402,0.075960888181414
r2-D,2,ROTATE,0.973843456677028,1.0463315289361137,0.0724880722590856
r2-D,2,INC,1.1418119198935373,1.1974881751196724,0.0556762552261351
r2-D,2,SWAP,1.147967769759042,1.1498705639157976,0.0019027941567555
r2-D,2,REVERSE_ROTATE,1.2161040435518538,1.268318362236023,0.0522143186841692
r2-D,2,REVERSE_INC,1.120182089805603,1.2240860005787442,0.1039039107731412
r2-D,2,REVERSE_SWAP,1.157756143978664,1.204915315764291,0.047159171785627
r2-D,2,ROTATE_INC,0.9909022501536778,1.067007474218096,0.0761052240644181
r2-D,2,ROTATE_SWAP,1.172133470943996,1.1891809245518277,0.0170474536078317
r2-D,2,INC_SWAP,0.8561620235443115,0.930171080657414,0.0740090571131025
r2-D,3,REVERSE,1.0007691308430262,1.088591503415789,0.0878223725727627
r2-D,3,ROTATE,0.973843456677028,1.0507469660895212,0.0769035094124931
r2-D,3,INC,1.1418119198935373,1.2343856702532088,0.0925737503596715
r2-D,3,SWAP,1.147967769759042,1.1614387089865548,0.0134709392275127
r2-D,3,REVERSE_ROTATE,1.2161040435518538,1.2837950161525182,0.0676909726006644
r2-D,3,REVERSE_INC,1.120182089805603,1.2383177375793455,0.1181356477737427
r2-D,3,REVERSE_SWAP,1.157756143978664,1.2177959067480906,0.0600397627694266
r2-D,3,ROTATE_INC,0.9909022501536778,1.1099914918627058,0.119089241709028
r2-D,3,ROTATE_SWAP,1.172133470943996,1.202941643169948,0.0308081722259521
r2-D,3,INC_SWAP,0.8561620235443115,0.976839017527444,0.1206769939831325
r2-D,4,REVERSE,1.0007691308430262,1.087267906325204,0.0864987754821777
r2-D,4,ROTATE,0.973843456677028,1.0618205159051075,0.0879770592280796
r2-D,4,INC,1.1418119198935373,1.1989499500819616,0.0571380301884243
r2-D,4,SWAP,1.147967769759042,1.1629965346200126,0.0150287648609706
r2-D,4,REVERSE_ROTATE,1.2161040435518538,1.2942253133228847,0.0781212697710309
r2-D,4,REVERSE_INC,1.120182089805603,1.1993148442677088,0.0791327544621058
r2-D,4,REVERSE_SWAP,1.157756143978664,1.2217334284101211,0.0639772844314574
r2-D,4,ROTATE_INC,0.9909022501536778,1.0740816920144218,0.083179441860744
r2-D,4,ROTATE_SWAP,1.172133470943996,1.212631427901132,0.0404979569571359
r2-D,4,INC_SWAP,0.8561620235443115,0.9326643337522236,0.0765023102079119
r2-D,5,REVERSE,1.0007691308430262,1.056666772706168,0.0558976418631418
r2-D,5,ROTATE,0.973843456677028,1.0169604090281896,0.0431169523511615
r2-D,5,INC,1.1418119198935373,1.164797932761056,0.0229860128675187
r2-D,5,SWAP,1.147967769759042,1.1343389402117048,-0.0136288295473372
r2-D,5,REVERSE_ROTATE,1.2161040435518538,1.2586234079088483,0.0425193643569945
r2-D,5,REVERSE_INC,1.120182089805603,1.172131939615522,0.0519498498099191
r2-D,5,REVERSE_SWAP,1.157756143978664,1.1899792044503348,0.0322230604716708
r2-D,5,ROTATE_INC,0.9909022501536778,1.0369915567125594,0.0460893065588815
r2-D,5,ROTATE_SWAP,1.172133470943996,1.180007872581482,0.007874401637486
r2-D,5,INC_SWAP,0.8561620235443115,0.8971007401602609,0.0409387166159493
r2-D,6,REVERSE,1.0007691308430262,1.0811729730878556,0.0804038422448294
r2-D,6,ROTATE,0.973843456677028,1.0521084186008998,0.0782649619238716
r2-D,6,INC,1.1418119198935373,1.187898290497916,0.0460863706043788
r2-D,6,SWAP,1.147967769759042,1.166659358569554,0.0186915888105119
r2-D,6,REVERSE_ROTATE,1.2161040435518538,1.275380621637617,0.0592765780857631
r2-D,6,REVERSE_INC,1.120182089805603,1.196051126207624,0.0758690364020211
r2-D,6,REVERSE_SWAP,1.157756143978664,1.207952618598938,0.0501964746202741
r2-D,6,ROTATE_INC,0.9909022501536778,1.0580470269066946,0.0671447767530167
r2-D,6,ROTATE_SWAP,1.172133470943996,1.2083960117612569,0.0362625408172607
r2-D,6,INC_SWAP,0.8561620235443115,0.9233117730276924,0.067149749483381
r2-D,7,REVERSE,1.0007691308430262,1.047125244140625,0.0463561132975987
r2-D,7,ROTATE,0.973843456677028,1.0148583112444196,0.0410148545673915
r2-D,7,INC,1.1418119198935373,1.1691719797679356,0.0273600598743983
r2-D,7,SWAP,1.147967769759042,1.1462183162144253,-0.0017494535446167
r2-D,7,REVERSE_ROTATE,1.2161040435518538,1.2701550231661116,0.0540509796142578
r2-D,7,REVERSE_INC,1.120182089805603,1.1558319772992816,0.0356498874936785
